article_id,title,newspaper_id,newspaper_title,page,date,category,words,illustrated,corrections,snippet,url,page_url
100079550,NEVER MET HIS BROTHER.,431,Narandera Argus and Riverina Advertiser (NSW : 1893 - 1953),5,1918-03-15,Article,330,N,0,"A somewhat unusual circumstance is announced in connection with the death of a Mr. Joseph Ruston, aged 73. who passed away recently at",https://nla.gov.au/nla.news-article100079550,http://trove.nla.gov.au/newspaper/page/10689281
100208805,GENERAL INFORMATION.,472,The Braidwood Dispatch and Mining Journal (NSW : 1888 - 1954),2 S,1902-12-06,Article,758,N,0,"The cost of St. Peter's, to Rome, was over £14,000,000. Each person in the civilised world consumes an average of 80 lbs. of",https://nla.gov.au/nla.news-article100208805,http://trove.nla.gov.au/newspaper/page/10963771
100260179,A MONTH TO FIND HUSBANDS.,422,Forbes Times (NSW : 1899 - 1920),7,1913-08-01,Article,196,N,0,"Much amusement has been caused at the immigration station at Ellis Island, New York, by the urgent petition of two pretty blue-eyed Danish girls,",https://nla.gov.au/nla.news-article100260179,http://trove.nla.gov.au/newspaper/page/10518331
10036409,"The Argus. MELBOURNE. WEDNESDAY, OCTOBER 18, 1905.",13,"The Argus (Melbourne, Vic. : 1848 - 1957)",6,1905-10-18,Article,8373,N,0,"It is very evident that ""General"" Booth has come to the conclusion that Australia, as represented by its politicians, does not mean business in",https://nla.gov.au/nla.news-article10036409,http://trove.nla.gov.au/newspaper/page/342063
100365951,NEVER MET HIS BROTHER.,422,Forbes Times (NSW : 1899 - 1920),2,1918-03-15,Article,319,N,0,"A somewhat unusual circumstance is announced in connection with the death of a Mr. Joseph Ruston, aged 73, who passed away recently at",https://nla.gov.au/nla.news-article100365951,http://trove.nla.gov.au/newspaper/page/10519928
100455950,Advertising,372,"Northern Argus (Clare, SA : 1869 - 1954)",1,1908-04-10,Advertising,2264,N,0,,https://nla.gov.au/nla.news-article100455950,http://trove.nla.gov.au/newspaper/page/9611508
100456458,Advertising,372,"Northern Argus (Clare, SA : 1869 - 1954)",1,1908-07-17,Advertising,2588,N,0,,https://nla.gov.au/nla.news-article100456458,http://trove.nla.gov.au/newspaper/page/9611593
100456856,Advertising,372,"Northern Argus (Clare, SA : 1869 - 1954)",1,1908-05-01,Advertising,2245,N,0,,https://nla.gov.au/nla.news-article100456856,http://trove.nla.gov.au/newspaper/page/9611526
100456912,Advertising,372,"Northern Argus (Clare, SA : 1869 - 1954)",1,1908-10-16,Advertising,2636,N,0,,https://nla.gov.au/nla.news-article100456912,http://trove.nla.gov.au/newspaper/page/9611671
100457193,Advertising,372,"Northern Argus (Clare, SA : 1869 - 1954)",1,1908-07-10,Advertising,2497,N,0,,https://nla.gov.au/nla.news-article100457193,http://trove.nla.gov.au/newspaper/page/9611587
100457422,Advertising,372,"Northern Argus (Clare, SA : 1869 - 1954)",1,1908-09-11,Advertising,2584,N,0,,https://nla.gov.au/nla.news-article100457422,http://trove.nla.gov.au/newspaper/page/9611641
100457461,Advertising,372,"Northern Argus (Clare, SA : 1869 - 1954)",1,1908-05-08,Advertising,2184,N,0,,https://nla.gov.au/nla.news-article100457461,http://trove.nla.gov.au/newspaper/page/9611532
100457631,Advertising,372,"Northern Argus (Clare, SA : 1869 - 1954)",1,1908-09-25,Advertising,2631,N,0,,https://nla.gov.au/nla.news-article100457631,http://trove.nla.gov.au/newspaper/page/9611653
100457788,Advertising,372,"Northern Argus (Clare, SA : 1869 - 1954)",1,1908-08-21,Advertising,2628,N,0,,https://nla.gov.au/nla.news-article100457788,http://trove.nla.gov.au/newspaper/page/9611623
100458092,Advertising,372,"Northern Argus (Clare, SA : 1869 - 1954)",1,1908-05-29,Advertising,2526,N,0,,https://nla.gov.au/nla.news-article100458092,http://trove.nla.gov.au/newspaper/page/9611550
100458146,Advertising,372,"Northern Argus (Clare, SA : 1869 - 1954)",1,1908-08-14,Advertising,2446,N,0,,https://nla.gov.au/nla.news-article100458146,http://trove.nla.gov.au/newspaper/page/9611617
100458196,Advertising,372,"Northern Argus (Clare, SA : 1869 - 1954)",1,1908-07-24,Advertising,2665,N,0,,https://nla.gov.au/nla.news-article100458196,http://trove.nla.gov.au/newspaper/page/9611599
100458523,Advertising,372,"Northern Argus (Clare, SA : 1869 - 1954)",1,1908-07-03,Advertising,2062,N,0,,https://nla.gov.au/nla.news-article100458523,http://trove.nla.gov.au/newspaper/page/9611580
100458847,Advertising,372,"Northern Argus (Clare, SA : 1869 - 1954)",1,1908-08-28,Advertising,2513,N,0,,https://nla.gov.au/nla.news-article100458847,http://trove.nla.gov.au/newspaper/page/9611629
100459079,Advertising,372,"Northern Argus (Clare, SA : 1869 - 1954)",1,1908-10-23,Advertising,2603,N,0,,https://nla.gov.au/nla.news-article100459079,http://trove.nla.gov.au/newspaper/page/9611677
100459140,Advertising,372,"Northern Argus (Clare, SA : 1869 - 1954)",1,1908-04-24,Advertising,2220,N,0,,https://nla.gov.au/nla.news-article100459140,http://trove.nla.gov.au/newspaper/page/9611520
100459357,Advertising,372,"Northern Argus (Clare, SA : 1869 - 1954)",1,1908-04-17,Advertising,2159,N,0,,https://nla.gov.au/nla.news-article100459357,http://trove.nla.gov.au/newspaper/page/9611514
100459524,Advertising,372,"Northern Argus (Clare, SA : 1869 - 1954)",1,1908-06-26,Advertising,2482,N,0,,https://nla.gov.au/nla.news-article100459524,http://trove.nla.gov.au/newspaper/page/9611574
100459683,Advertising,372,"Northern Argus (Clare, SA : 1869 - 1954)",1,1908-05-15,Advertising,2214,N,0,,https://nla.gov.au/nla.news-article100459683,http://trove.nla.gov.au/newspaper/page/9611538
100459790,Advertising,372,"Northern Argus (Clare, SA : 1869 - 1954)",1,1908-05-22,Advertising,2216,N,0,,https://nla.gov.au/nla.news-article100459790,http://trove.nla.gov.au/newspaper/page/9611544
100460338,Advertising,372,"Northern Argus (Clare, SA : 1869 - 1954)",1,1908-06-19,Advertising,2468,N,0,,https://nla.gov.au/nla.news-article100460338,http://trove.nla.gov.au/newspaper/page/9611568
100460400,Advertising,372,"Northern Argus (Clare, SA : 1869 - 1954)",1,1908-10-09,Advertising,2694,N,0,,https://nla.gov.au/nla.news-article100460400,http://trove.nla.gov.au/newspaper/page/9611665
100460459,Advertising,372,"Northern Argus (Clare, SA : 1869 - 1954)",1,1908-10-02,Advertising,2639,N,0,,https://nla.gov.au/nla.news-article100460459,http://trove.nla.gov.au/newspaper/page/9611659
100460515,Advertising,372,"Northern Argus (Clare, SA : 1869 - 1954)",1,1908-06-12,Advertising,2445,N,0,,https://nla.gov.au/nla.news-article100460515,http://trove.nla.gov.au/newspaper/page/9611562
100460628,Advertising,372,"Northern Argus (Clare, SA : 1869 - 1954)",1,1908-08-07,Advertising,2604,N,0,,https://nla.gov.au/nla.news-article100460628,http://trove.nla.gov.au/newspaper/page/9611611
100460802,Advertising,372,"Northern Argus (Clare, SA : 1869 - 1954)",1,1908-07-31,Advertising,2569,N,0,,https://nla.gov.au/nla.news-article100460802,http://trove.nla.gov.au/newspaper/page/9611605
100461539,Advertising,372,"Northern Argus (Clare, SA : 1869 - 1954)",1,1908-06-05,Advertising,2304,N,0,,https://nla.gov.au/nla.news-article100461539,http://trove.nla.gov.au/newspaper/page/9611556
100465593,Round the florid via Can­ada and New York. No. 5—WESTERN ASSINIBOIA.,372,"Northern Argus (Clare, SA : 1869 - 1954)",4,1903-11-06,Article,1763,N,0,I woke about 5 o'clock next morning and after a wash I stepped out on the landing of one car and looked round me. We were bowling along at about 40 miles an hour,https://nla.gov.au/nla.news-article100465593,http://trove.nla.gov.au/newspaper/page/9621841
